# Blue curve: LED brightness = 25, Integration time = 51
# Red curve: LED brightness = -1, Integration time = -1 (if applicable)
# Channel, Intensity (blue line) [V], Intensity (red line, if applicable) [V]
0 0.43137255 -1.00000000
1 0.43137255 -1.00000000
2 0.43137255 -1.00000000
3 0.43137255 -1.00000000
4 0.45098039 -1.00000000
5 0.45098039 -1.00000000
6 0.47058824 -1.00000000
7 0.47058824 -1.00000000
8 0.49019608 -1.00000000
9 0.47058824 -1.00000000
10 0.49019608 -1.00000000
11 0.49019608 -1.00000000
12 0.49019608 -1.00000000
13 0.49019608 -1.00000000
14 0.50980392 -1.00000000
15 0.50980392 -1.00000000
16 0.52941176 -1.00000000
17 0.52941176 -1.00000000
18 0.52941176 -1.00000000
19 0.50980392 -1.00000000
20 0.54901961 -1.00000000
21 0.54901961 -1.00000000
22 0.54901961 -1.00000000
23 0.54901961 -1.00000000
24 0.54901961 -1.00000000
25 0.54901961 -1.00000000
26 0.56862745 -1.00000000
27 0.56862745 -1.00000000
28 0.56862745 -1.00000000
29 0.56862745 -1.00000000
30 0.56862745 -1.00000000
31 0.54901961 -1.00000000
32 0.56862745 -1.00000000
33 0.54901961 -1.00000000
34 0.56862745 -1.00000000
35 0.56862745 -1.00000000
36 0.56862745 -1.00000000
37 0.56862745 -1.00000000
38 0.56862745 -1.00000000
39 0.56862745 -1.00000000
40 0.56862745 -1.00000000
41 0.56862745 -1.00000000
42 0.56862745 -1.00000000
43 0.56862745 -1.00000000
44 0.58823529 -1.00000000
45 0.56862745 -1.00000000
46 0.58823529 -1.00000000
47 0.56862745 -1.00000000
48 0.56862745 -1.00000000
49 0.56862745 -1.00000000
50 0.56862745 -1.00000000
51 0.56862745 -1.00000000
52 0.56862745 -1.00000000
53 0.56862745 -1.00000000
54 0.56862745 -1.00000000
55 0.56862745 -1.00000000
56 0.56862745 -1.00000000
57 0.56862745 -1.00000000
58 0.58823529 -1.00000000
59 0.56862745 -1.00000000
60 0.58823529 -1.00000000
61 0.56862745 -1.00000000
62 0.58823529 -1.00000000
63 0.58823529 -1.00000000
64 0.58823529 -1.00000000
65 0.58823529 -1.00000000
66 0.58823529 -1.00000000
67 0.58823529 -1.00000000
68 0.58823529 -1.00000000
69 0.58823529 -1.00000000
70 0.58823529 -1.00000000
71 0.58823529 -1.00000000
72 0.58823529 -1.00000000
73 0.56862745 -1.00000000
74 0.56862745 -1.00000000
75 0.56862745 -1.00000000
76 0.56862745 -1.00000000
77 0.56862745 -1.00000000
78 0.56862745 -1.00000000
79 0.56862745 -1.00000000
80 0.58823529 -1.00000000
81 0.56862745 -1.00000000
82 0.58823529 -1.00000000
83 0.56862745 -1.00000000
84 0.56862745 -1.00000000
85 0.56862745 -1.00000000
86 0.58823529 -1.00000000
87 0.58823529 -1.00000000
88 0.58823529 -1.00000000
89 0.58823529 -1.00000000
90 0.58823529 -1.00000000
91 0.58823529 -1.00000000
92 0.58823529 -1.00000000
93 0.56862745 -1.00000000
94 0.58823529 -1.00000000
95 0.56862745 -1.00000000
96 0.58823529 -1.00000000
97 0.56862745 -1.00000000
98 0.58823529 -1.00000000
99 0.58823529 -1.00000000
100 0.58823529 -1.00000000
101 0.56862745 -1.00000000
102 0.58823529 -1.00000000
103 0.58823529 -1.00000000
104 0.58823529 -1.00000000
105 0.58823529 -1.00000000
106 0.58823529 -1.00000000
107 0.58823529 -1.00000000
108 0.58823529 -1.00000000
109 0.58823529 -1.00000000
110 0.60784314 -1.00000000
111 0.58823529 -1.00000000
112 0.60784314 -1.00000000
113 0.58823529 -1.00000000
114 0.60784314 -1.00000000
115 0.58823529 -1.00000000
116 0.58823529 -1.00000000
117 0.58823529 -1.00000000
118 0.58823529 -1.00000000
119 0.58823529 -1.00000000
120 0.58823529 -1.00000000
121 0.56862745 -1.00000000
122 0.58823529 -1.00000000
123 0.56862745 -1.00000000
124 0.58823529 -1.00000000
125 0.56862745 -1.00000000
126 0.58823529 -1.00000000
127 0.58823529 -1.00000000
128 0.60784314 -1.00000000
129 0.56862745 -1.00000000
130 0.56862745 -1.00000000
131 0.58823529 -1.00000000
132 0.58823529 -1.00000000
133 0.58823529 -1.00000000
134 0.60784314 -1.00000000
135 0.58823529 -1.00000000
136 0.58823529 -1.00000000
137 0.58823529 -1.00000000
138 0.58823529 -1.00000000
139 0.58823529 -1.00000000
140 0.58823529 -1.00000000
141 0.56862745 -1.00000000
142 0.58823529 -1.00000000
143 0.58823529 -1.00000000
144 0.58823529 -1.00000000
145 0.58823529 -1.00000000
146 0.58823529 -1.00000000
147 0.58823529 -1.00000000
148 0.58823529 -1.00000000
149 0.58823529 -1.00000000
150 0.58823529 -1.00000000
151 0.56862745 -1.00000000
152 0.58823529 -1.00000000
153 0.58823529 -1.00000000
154 0.58823529 -1.00000000
155 0.58823529 -1.00000000
156 0.60784314 -1.00000000
157 0.58823529 -1.00000000
158 0.58823529 -1.00000000
159 0.58823529 -1.00000000
160 0.58823529 -1.00000000
161 0.58823529 -1.00000000
162 0.58823529 -1.00000000
163 0.58823529 -1.00000000
164 0.58823529 -1.00000000
165 0.56862745 -1.00000000
166 0.58823529 -1.00000000
167 0.58823529 -1.00000000
168 0.58823529 -1.00000000
169 0.58823529 -1.00000000
170 0.58823529 -1.00000000
171 0.58823529 -1.00000000
172 0.58823529 -1.00000000
173 0.58823529 -1.00000000
174 0.58823529 -1.00000000
175 0.58823529 -1.00000000
176 0.60784314 -1.00000000
177 0.60784314 -1.00000000
178 0.60784314 -1.00000000
179 0.60784314 -1.00000000
180 0.62745098 -1.00000000
181 0.60784314 -1.00000000
182 0.60784314 -1.00000000
183 0.60784314 -1.00000000
184 0.62745098 -1.00000000
185 0.60784314 -1.00000000
186 0.62745098 -1.00000000
187 0.60784314 -1.00000000
188 0.62745098 -1.00000000
189 0.60784314 -1.00000000
190 0.62745098 -1.00000000
191 0.62745098 -1.00000000
192 0.64705882 -1.00000000
193 0.62745098 -1.00000000
194 0.62745098 -1.00000000
195 0.62745098 -1.00000000
196 0.62745098 -1.00000000
197 0.62745098 -1.00000000
198 0.64705882 -1.00000000
199 0.64705882 -1.00000000
200 0.64705882 -1.00000000
201 0.64705882 -1.00000000
202 0.64705882 -1.00000000
203 0.64705882 -1.00000000
204 0.64705882 -1.00000000
205 0.62745098 -1.00000000
206 0.62745098 -1.00000000
207 0.62745098 -1.00000000
208 0.62745098 -1.00000000
209 0.62745098 -1.00000000
210 0.64705882 -1.00000000
211 0.62745098 -1.00000000
212 0.62745098 -1.00000000
213 0.62745098 -1.00000000
214 0.64705882 -1.00000000
215 0.62745098 -1.00000000
216 0.62745098 -1.00000000
217 0.64705882 -1.00000000
218 0.64705882 -1.00000000
219 0.62745098 -1.00000000
220 0.64705882 -1.00000000
221 0.66666667 -1.00000000
222 0.64705882 -1.00000000
223 0.64705882 -1.00000000
224 0.64705882 -1.00000000
225 0.64705882 -1.00000000
226 0.64705882 -1.00000000
227 0.62745098 -1.00000000
228 0.62745098 -1.00000000
229 0.62745098 -1.00000000
230 0.64705882 -1.00000000
231 0.64705882 -1.00000000
232 0.64705882 -1.00000000
233 0.64705882 -1.00000000
234 0.64705882 -1.00000000
235 0.64705882 -1.00000000
236 0.64705882 -1.00000000
237 0.64705882 -1.00000000
238 0.64705882 -1.00000000
239 0.64705882 -1.00000000
240 0.64705882 -1.00000000
241 0.62745098 -1.00000000
242 0.64705882 -1.00000000
243 0.66666667 -1.00000000
244 0.66666667 -1.00000000
245 0.66666667 -1.00000000
246 0.66666667 -1.00000000
247 0.64705882 -1.00000000
248 0.64705882 -1.00000000
249 0.64705882 -1.00000000
250 0.64705882 -1.00000000
251 0.62745098 -1.00000000
252 0.62745098 -1.00000000
253 0.62745098 -1.00000000
254 0.62745098 -1.00000000
255 0.62745098 -1.00000000
256 0.64705882 -1.00000000
257 0.62745098 -1.00000000
258 0.62745098 -1.00000000
259 0.62745098 -1.00000000
260 0.62745098 -1.00000000
261 0.60784314 -1.00000000
262 0.60784314 -1.00000000
263 0.58823529 -1.00000000
264 0.62745098 -1.00000000
265 0.62745098 -1.00000000
266 0.62745098 -1.00000000
267 0.60784314 -1.00000000
268 0.62745098 -1.00000000
269 0.60784314 -1.00000000
270 0.60784314 -1.00000000
271 0.60784314 -1.00000000
272 0.60784314 -1.00000000
273 0.60784314 -1.00000000
274 0.60784314 -1.00000000
275 0.58823529 -1.00000000
276 0.58823529 -1.00000000
277 0.58823529 -1.00000000
278 0.60784314 -1.00000000
279 0.58823529 -1.00000000
280 0.58823529 -1.00000000
281 0.58823529 -1.00000000
282 0.58823529 -1.00000000
283 0.58823529 -1.00000000
284 0.60784314 -1.00000000
285 0.58823529 -1.00000000
286 0.60784314 -1.00000000
287 0.60784314 -1.00000000
288 0.60784314 -1.00000000
289 0.60784314 -1.00000000
290 0.60784314 -1.00000000
291 0.60784314 -1.00000000
292 0.60784314 -1.00000000
293 0.58823529 -1.00000000
294 0.58823529 -1.00000000
295 0.58823529 -1.00000000
296 0.60784314 -1.00000000
297 0.60784314 -1.00000000
298 0.60784314 -1.00000000
299 0.60784314 -1.00000000
300 0.60784314 -1.00000000
301 0.60784314 -1.00000000
302 0.60784314 -1.00000000
303 0.60784314 -1.00000000
304 0.60784314 -1.00000000
305 0.60784314 -1.00000000
